'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0631259282430013
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0650751060909695
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.057379722595214844
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0583453859601702
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06295037269592285
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0556010901927948
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06156182289123535
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06996355056762696
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06234904697963169
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06118309497833252
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05527621507644653
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05402146686207165
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06642665863037109
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05859029293060303
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05623772144317627
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05471628362482244
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.057872462272644046
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.045471400022506714
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.049204468727111816
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.054805225796169706
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07417093382941352
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05918593406677246
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05801033973693848
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06370561463492257
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06523010465833876
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06555867195129395
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05551950136820475
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06484897931416829
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05530076026916504
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05810003810458713
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04992195538112095
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05325725078582764
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06044166428702218
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.043365663952297635
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0498144096798367
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0494455893834432
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04818596158708845
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.056020587682724
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05384996202256945
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06239166259765625
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06081951581514799
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05228608846664429
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.049255575452532084
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.048558049731784396
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05819408595561981
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05049145221710205
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.08651241660118103
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0746297836303711
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06086292862892151
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04932622909545899
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.060467667049831815
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.051319026947021486
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06744307279586792
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06433234895978655
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0752530813217163
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06297188334994847
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06336700916290283
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.08001095056533813
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.049473890891441934
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05870284352983747
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06658482551574707
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.1303504572974311
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.054651240507761635
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07366452217102051
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07041406631469727
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05764412879943848
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.055196595191955564
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06176073210580008
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.060291677713394165
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06180983119540744
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07451062732272679
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05768988529841105
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05224985546535916
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05027076933119032
